label,com,mac,endpoint,source
1,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,v0.6.46-flash-one
2,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,v0.6.46-flash-one
3,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,v0.6.46-flash-one
4,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,v0.6.46-flash-one
5,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,v0.6.46-flash-one
6,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,v0.6.46-flash-one
7,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,v0.6.46-flash-one
8,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,v0.6.46-flash-one
9,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,v0.6.46-flash-one
10,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,v0.6.46-flash-one
11,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,v0.6.46-flash-one
12,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,v0.6.46-flash-one
13,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,v0.6.46-flash-one
14,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,v0.6.46-flash-one
15,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,v0.6.46-flash-one
16,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,v0.6.46-flash-one
17,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,v0.6.46-flash-one
18,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,v0.6.46-flash-one
19,COM34,10:51:db:1c:08:fc,ami-esp32c6-08fc,v0.6.46-flash-one
20,COM35,10:51:db:1c:15:34,ami-esp32c6-1534,v0.6.46-flash-one
21,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,v0.6.46-flash-one
22,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,v0.6.46-flash-one
23,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,v0.6.46-flash-one
24,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,v0.6.46-flash-one
25,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,v0.6.46-flash-one
26,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,v0.6.46-flash-one
27,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,v0.6.46-flash-one
28,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,v0.6.46-flash-one
29,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,v0.6.46-flash-one
30,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,v0.6.46-flash-one
31,COM69,58:e6:c5:18:cc:2c,ami-esp32c6-cc2c,v0.6.56-provision-new
32,COM77,58:e6:c5:18:cc:6c,ami-esp32c6-cc6c,v0.6.46-flash-one
