ts_iso,com,mac,endpoint,variant,flash
2026-05-21T12:19:53,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota,20m/dout
2026-05-21T12:19:56,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,build_ota,20m/dout
2026-05-21T12:19:59,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota,20m/dout
2026-05-21T12:20:03,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota,20m/dout
2026-05-21T12:21:13,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota,20m/dout
2026-05-21T12:21:16,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota,20m/dout
2026-05-21T12:21:18,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota,20m/dout
2026-05-21T12:24:30,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota,20m/dout
2026-05-21T12:24:33,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota,20m/dout
2026-05-21T12:24:35,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,build_ota,20m/dout
2026-05-21T12:24:38,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota,20m/dout
2026-05-21T12:25:07,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota,20m/dout
2026-05-21T12:25:08,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota,20m/dout
2026-05-21T12:25:10,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota,20m/dout
2026-05-21T12:27:13,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,build_ota,20m/dout
2026-05-21T12:27:16,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota,20m/dout
2026-05-21T12:27:20,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,build_ota,20m/dout
2026-05-21T12:27:23,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota,20m/dout
2026-05-21T12:27:53,COM34,10:51:db:1c:08:fc,ami-esp32c6-08fc,build_ota,20m/dout
2026-05-21T12:27:56,COM35,10:51:db:1c:15:34,ami-esp32c6-1534,build_ota,20m/dout
2026-05-21T12:28:13,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota,20m/dout
2026-05-21T12:28:20,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota,20m/dout
2026-05-21T12:39:59,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota,20m/dout
2026-05-21T12:40:01,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,build_ota,20m/dout
2026-05-21T12:40:04,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota,20m/dout
2026-05-21T12:40:06,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota,20m/dout
2026-05-21T12:40:33,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,build_ota,20m/dout
2026-05-21T12:40:35,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,build_ota,20m/dout
2026-05-21T12:40:38,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,build_ota,20m/dout
2026-05-21T12:41:45,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,build_ota,20m/dout
2026-05-21T12:41:48,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,build_ota,20m/dout
2026-05-21T12:44:03,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-21T12:44:08,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-21T12:44:14,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
2026-05-21T12:44:19,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-21T12:44:38,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota_ftd,20m/dout
2026-05-21T12:44:47,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota_ftd,20m/dout
2026-05-21T17:24:30,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota,20m/dout
2026-05-21T17:24:31,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,build_ota,20m/dout
2026-05-21T17:24:35,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota,20m/dout
2026-05-21T17:24:37,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota,20m/dout
2026-05-21T17:25:39,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota,20m/dout
2026-05-21T17:25:42,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota,20m/dout
2026-05-21T17:25:44,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota,20m/dout
2026-05-21T17:28:37,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota,20m/dout
2026-05-21T17:28:39,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota,20m/dout
